,sample_id,type,control_type,nb_reads.x,nb_motus.x,seqdepth_ok.x,nb_reads_postmetabaR.x,nb_motus_postmetabaR.x,Site.Name,nb_reads.y,nb_motus.y,seqdepth_ok.y,nb_reads_postmetabaR.y,nb_motus_postmetabaR.y,nb_reads,nb_motus,Sample.ID,Date.Collected..MM.DD.YYYY.,Year,Time.Net.Set..or.catch.,Island,Species..common.name.,Species..scientific.name.,Spaghetti.Tag.ID,PIT.Tag.ID,Satellite.Tag.ID,Acoustic.Tag.ID,Sex,Lateral..mm.,Girth..mm.,Proximal..mm.,Fork.Length..mm.,Stretched.Total.Length..mm.,Age_category,Weight..kg.,Blood..Y.N.,Umbilical.Scar..Y.N.,Recapture.Spaghetti.Tag.ID,Recapture.PIT.Tag.ID,Salinity..ppt.,Tide,Water.Temperature..C.,Method.of.Capture,Associated.Water.Sample.IDs,BRUV.File.Name,Assosiated.DNA.Blood.Sample,Fishing.Notes,Swab.Appearence,Date.Extraction.Started,Time.placed.in.incubator.for.Step.2,Placed.in.feezer.after.step.5...Y.N.,If.placed.in.freezer.what.date.,Date.fully.extracted,DNA.Extraction.Notes,Date.of.1st.PCR,X,X.1,X.2,X.3,X.4,X.5
G057,G057,sample,NA,17540|18018,3|4,TRUE,17538|18015,2|3,Cerro Brujo,NA,NA,NA,NA,NA,35553,4,G57,6/25/21,2021,8:19,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,M,NA,NA,NA,560,700,,NA,Y,NA,NA,NA,34.89,Outgoing,23.32,Gill Net,,merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2,S57,,None,6/25/21,5:54 PM,N,,6/26/21,,NA,NA,NA,NA,NA,NA,NA
G058,G058,sample,NA, 317|3184,12|30,TRUE, 317|3182,12|29,Puerto Grande,NA,NA,NA,NA,NA,3499,33,G58,6/27/21,2021,5:00,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,NA,NA,NA,F,NA,NA,NA,399,535,Neonate,NA,Y,NA,NA,NA,35.06,Outgoing,22.25,Seine Net,,merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2,S58,Fin Clip = 196,Medium (redish),6/27/21,2:00 PM,N,,6/28/21,,NA,NA,NA,NA,NA,NA,NA
G059,G059,sample,NA,9261|9327,29|33,TRUE,9261|9327,29|33,Puerto Grande,NA,NA,NA,NA,NA,18588,34,G59,6/27/21,2021,5:00,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,NA,NA,NA,M,NA,NA,NA,395,509,Neonate,NA,N,NA,NA,NA,35.06,Outgoing,22.25,Seine Net,,merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2,,Fin Clip = 108,Medium (redish),6/27/21,2:00 PM,N,,6/28/21,,NA,NA,NA,NA,NA,NA,NA
G060,G060,sample,NA,442|724, 9|20,TRUE,434|709, 8|17,Puerto Grande,1003|2426,1,TRUE,0,0,1143,20,G60,6/27/21,2021,5:00,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,NA,NA,NA,M,NA,NA,NA,435,560,YOY,NA,Y,NA,NA,NA,35.06,Outgoing,22.25,Seine Net,,merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2,S60,Fin Clip = 104,Medium,6/27/21,2:00 PM,N,,6/28/21,,NA,NA,NA,NA,NA,NA,NA
G061,G061,sample,NA,24048|41080,32|36,TRUE,24048|41080,32|36,Puerto Grande,NA,NA,NA,NA,NA,65128,37,G61,6/27/21,2021,5:00,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,NA,NA,NA,F,NA,NA,NA,420,550,Neonate,NA,Y,NA,NA,NA,35.06,Outgoing,22.25,Gill Net,,merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2,S61,Fin Clip = 101,Light (bloody),6/27/21,2:00 PM,N,,6/28/21,,NA,NA,NA,NA,NA,NA,NA
G062,G062,sample,NA,21368|41942,21|28,TRUE,21368|41940,21|27,Puerto Grande,358,1,TRUE,0,0,63308,28,G62,6/27/21,2021,5:55,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,600,710,,NA,Y,NA,NA,NA,35.06,Outgoing,22.25,Gill Net,,merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2,S62,,Light,7/19/21,2:45 PM,N,,,,NA,NA,NA,NA,NA,NA,NA
G063,G063,sample,NA, 203|2145,5|8,TRUE, 165|1976,4|6,Puerto Grande,NA,NA,NA,NA,NA,2141,7,G63,6/27/21,2021,5:55,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,M,NA,NA,NA,690,570,,NA,Y,NA,NA,NA,35.06,Outgoing,22.25,Gill Net,,merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2,S63,,Medium,7/19/21,2:45 PM,N,,,,NA,NA,NA,NA,NA,NA,NA
G064,G064,sample,NA,5765|8692,8,TRUE,5561|8688,7,Puerto Grande,172|595,1,TRUE,172|595,1,15016,13,G64,6/27/21,2021,5:55,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,M,NA,NA,NA,660,550,,NA,Y,NA,NA,NA,35.06,Outgoing,22.25,Gill Net,,merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2,S64,,Light,7/19/21,2:45 PM,N,,,,NA,NA,NA,NA,NA,NA,NA
G065,G065,sample,NA, 6464|22812,3|4,TRUE, 6411|22811,2|3,Puerto Grande,NA,NA,NA,NA,NA,29222,4,G65,6/27/21,2021,5:55,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,M,NA,NA,NA,690,570,,NA,Y,NA,NA,NA,35.06,Outgoing,22.25,Gill Net,,merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2,S65,,Light,7/19/21,2:45 PM,N,,,,NA,NA,NA,NA,NA,NA,NA
G066,G066,sample,NA, 343|1094,8|9,TRUE, 343|1094,8|9,Puerto Grande,NA,NA,NA,NA,NA,1437,10,G66,6/27/21,2021,5:55,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,695,625,,NA,Y,NA,NA,NA,35.06,Outgoing,22.25,Gill Net,,merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2,S66,,Alot (dark),7/19/21,2:45 PM,N,,,,NA,NA,NA,NA,NA,NA,NA
G067,G067,sample,NA, 9723|17745, 9|11,TRUE, 9723|17745, 9|11,Puerto Grande,157|191,1|2,TRUE,0,0,27468,14,G67,6/27/21,2021,5:55,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,M,NA,NA,NA,720,600,,NA,Y,NA,NA,NA,35.06,Outgoing,22.25,Gill Net,,merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2,S67,,Medium (dark),7/19/21,2:45 PM,N,,,,NA,NA,NA,NA,NA,NA,NA
G068,G068,sample,NA,10908|25768, 5|10,TRUE,10908|25419,5|8,Puerto Grande,NA,NA,NA,NA,NA,36327,11,G68,6/27/21,2021,5:55,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,600,495,,NA,Y,NA,NA,NA,35.06,Outgoing,22.25,Gill Net,,merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2,S68,,Light,7/19/21,2:45 PM,N,,,,NA,NA,NA,NA,NA,NA,NA
G069,G069,sample,NA,25333|46799,34|36,TRUE,25333|46755,34|35,Puerto Grande,NA,NA,NA,NA,NA,72088,38,G69,6/27/21,2021,5:55,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,640,715,,NA,Y,NA,NA,NA,35.06,Outgoing,22.25,Gill Net,,merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2,S69,,Medium,7/19/21,2:45 PM,N,,,,NA,NA,NA,NA,NA,NA,NA
G070,G070,sample,NA,371|461,7|9,TRUE,201|222,5|8,Puerto Grande,NA,NA,NA,NA,NA,423,9,G70,6/27/21,2021,5:55,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,M,NA,NA,NA,715,595,,NA,Y,NA,NA,NA,35.06,Outgoing,22.25,Gill Net,,merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2,S70,,Medium,7/19/21,2:45 PM,N,,,,NA,NA,NA,NA,NA,NA,NA
