,sample_id,type,control_type,nb_reads.x,nb_motus.x,seqdepth_ok.x,nb_reads_postmetabaR.x,nb_motus_postmetabaR.x,Site.Name,nb_reads.y,nb_motus.y,seqdepth_ok.y,nb_reads_postmetabaR.y,nb_motus_postmetabaR.y,nb_reads,nb_motus,Sample.ID,Date.Collected..MM.DD.YYYY.,Year,Time.Net.Set..or.catch.,Island,Species..common.name.,Species..scientific.name.,Spaghetti.Tag.ID,PIT.Tag.ID,Satellite.Tag.ID,Acoustic.Tag.ID,Sex,Lateral..mm.,Girth..mm.,Proximal..mm.,Fork.Length..mm.,Stretched.Total.Length..mm.,Age_category,Weight..kg.,Blood..Y.N.,Umbilical.Scar..Y.N.,Recapture.Spaghetti.Tag.ID,Recapture.PIT.Tag.ID,Salinity..ppt.,Tide,Water.Temperature..C.,Method.of.Capture,Associated.Water.Sample.IDs,BRUV.File.Name,Assosiated.DNA.Blood.Sample,Fishing.Notes,Swab.Appearence,Date.Extraction.Started,Time.placed.in.incubator.for.Step.2,Placed.in.feezer.after.step.5...Y.N.,If.placed.in.freezer.what.date.,Date.fully.extracted,DNA.Extraction.Notes,Date.of.1st.PCR,X,X.1,X.2,X.3,X.4,X.5
G182,G182,sample,NA,79274,1,TRUE,79274,1,Puerto Grande,NA,NA,NA,NA,NA,79274,1,G182,6/5/23,2023,17:24,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F6D,NA,NA,M,NA,180,NA,370,480,,0.47,Y,Y,NA,NA,34.87,Outgoing,27.28,Hooks,6/5/23,,S182,Partially open umbilical scar,Medium,7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA
G183,G183,sample,NA,9697,2,TRUE,9697,2,Puerto Grande,NA,NA,NA,NA,NA,9697,2,G183,6/5/23,2023,17:27,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F73,NA,NA,M,NA,170,NA,340,450,Neonate,0.365,Y,Y,NA,NA,34.87,Outgoing,27.28,Hooks,6/5/23,,S183,Partially open umbilical scar,Alot,7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA
G184,G184,sample,NA,46470,2,TRUE,46464,1,Puerto Grande,NA,NA,NA,NA,NA,46464,1,G184,6/23/23,2023,16:55,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F7C,NA,NA,F,NA,280,NA,600,790,,1.755,N,N,NA,NA,34.73,Incoming,26.31,Hooks,6/23/23,,,Hooked in cudal fin,Medium (bloody),7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA
G185,G185,sample,NA,4728,1,TRUE,4728,1,Puerto Grande,NA,NA,NA,NA,NA,4728,1,G185,6/29/23,2023,16:47,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F64,NA,NA,F,NA,195,NA,460,600,,0.925,N,N,NA,NA,35.09,,26.9,Hooks,,,,Acoustic tagged and tracked for 32 hours,Alot (bloody),7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA
G186,G186,sample,NA,19043,3,TRUE,19043,3,Rosa Blanca 2,NA,NA,NA,NA,NA,19043,3,G186,7/8/23,2023,12:25,San Cristobal,Blacktip,Carcharhinus limbatus,NA,,NA,NA,F,NA,310,NA,620,810,,NA,N,N,NA,NA,34.28,Outgoing,26.92,Gill Net,,,,,Light,7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA
G187,G187,sample,NA,3346,5,TRUE,561,4,Rosa Blanca 2,NA,NA,NA,NA,NA,561,4,G187,7/8/23,2023,,San Cristobal,Blacktip,Carcharhinus limbatus,NA,,NA,NA,M,NA,280,NA,610,770,,NA,Y,N,NA,NA,34.28,Outgoing,26.92,Gill Net,,,,,Medium,7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA
G188,G188,sample,NA,17394,3,TRUE,17394,3,Rosa Blanca 2,NA,NA,NA,NA,NA,17394,3,G188,7/8/23,2023,,San Cristobal,Blacktip,Carcharhinus limbatus,NA,,NA,NA,M,NA,300,NA,580,740,,NA,N,N,NA,NA,34.28,Outgoing,26.92,Gill Net,,,,,Alot (dark),7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA
G189,G189,sample,NA,18909,2,TRUE,18909,2,Rosa Blanca 2,NA,NA,NA,NA,NA,18909,2,G189,7/8/23,2023,,San Cristobal,Blacktip,Carcharhinus limbatus,NA,,NA,NA,M,NA,270,NA,580,740,,NA,N,N,NA,NA,34.28,Outgoing,26.92,Gill Net,,,,,Light,7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA
G190,G190,sample,NA,9080,1,TRUE,9080,1,Rosa Blanca 2,NA,NA,NA,NA,NA,9080,1,G190,7/8/23,2023,,San Cristobal,Blacktip,Carcharhinus limbatus,NA,,NA,NA,M,NA,280,NA,580,740,,NA,N,N,NA,NA,34.28,Outgoing,26.92,Gill Net,,,,,Medium,7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA
G191,G191,sample,NA,934,2,TRUE,934,2,Rosa Blanca 2,NA,NA,NA,NA,NA,934,2,G191,7/8/23,2023,12:40,San Cristobal,Blacktip,Carcharhinus limbatus,NA,,NA,NA,F,NA,280,NA,570,730,,NA,N,N,NA,NA,34.28,Outgoing,26.92,Gill Net,,,,,Alot (dark),7/9/23,11:00 AM,N,NA,7/10/23,,,NA,NA,NA,NA,NA,NA
